bowler,wickets,balls_bowled,runs_given,economy
R Parag,11,321,494,9.233644859813083
JD Ryder,11,241,314,7.817427385892117
Anand Rajan,10,162,206,7.62962962962963
DJ Hussey,10,323,485,9.009287925696594
T Thushara,10,144,164,6.833333333333333
DJ Hooda,10,391,550,8.43989769820972
MP Yadav,10,129,188,8.744186046511627
KMA Paul,10,180,239,7.966666666666667
MN Samuels,10,219,285,7.808219178082192
B Laughlin,10,179,284,9.5195530726257
Harsh Dubey,10,156,229,8.807692307692307
Nithish Kumar Reddy,10,207,346,10.028985507246377
J Syed Mohammad,10,196,286,8.755102040816325
N Rana,10,197,271,8.253807106598984
SE Bond,9,191,225,7.068062827225131
AM Nayar,9,239,323,8.108786610878662
SMSM Senanayake,9,195,211,6.492307692307692
Shahid Afridi,9,185,237,7.686486486486487
AF Milne,9,217,339,9.373271889400922
SB Styris,9,222,278,7.513513513513514
BAW Mendis,9,248,306,7.403225806451613
JEC Franklin,9,155,225,8.70967741935484
J Yadav,9,398,447,6.738693467336684
P Parameswaran,9,159,226,8.528301886792452
IS Sodhi,9,182,204,6.725274725274725
N Thushara,9,198,289,8.757575757575758
Akash Singh,9,208,326,9.403846153846153
Mohammad Asif,9,199,307,9.256281407035175
KP Pietersen,9,180,218,7.266666666666666
Zeeshan Ansari,8,209,334,9.588516746411482
A Mithun,8,312,477,9.173076923076923
AA Chavan,8,255,339,7.976470588235294
M Ntini,8,213,257,7.23943661971831
S Sandeep Warrier,8,176,257,8.761363636363637
S Randiv,8,180,223,7.433333333333334
KC Cariappa,8,224,349,9.348214285714285
GC Viljoen,8,146,229,9.41095890410959
WG Jacks,8,145,221,9.144827586206896
I Udana,8,182,286,9.428571428571429
Yudhvir Singh,8,145,257,10.63448275862069
JDS Neesham,8,222,342,9.243243243243244
D Pretorius,7,166,242,8.746987951807228
S Dube,7,143,253,10.615384615384615
AM Salvi,7,156,205,7.884615384615385
RR Raje,7,144,214,8.916666666666668
B Stanlake,7,150,200,8.0
KM Asif,7,143,232,9.734265734265733
B Akhil,7,193,246,7.647668393782384
DJ Willey,7,221,277,7.520361990950226
Swapnil Singh,7,165,241,8.763636363636364
TL Suman,7,152,198,7.815789473684211
C de Grandhomme,7,230,323,8.42608695652174
Y Venugopal Rao,7,222,338,9.135135135135135
R Shukla,7,130,217,10.015384615384615
HF Gurney,7,169,239,8.485207100591715
OF Smith,7,95,179,11.305263157894737
P Amarnath,7,132,241,10.954545454545453
PC Valthaty,7,153,207,8.117647058823529
K Khejroliya,6,148,250,10.135135135135135
AK Markram,6,207,303,8.782608695652174
RV Gomez,6,97,130,8.041237113402062
VS Malik,6,212,268,7.584905660377358
V Sehwag,6,138,236,10.26086956521739
W O'Rourke,6,64,132,12.375
R Sathish,6,144,233,9.708333333333334
V Puthur,6,73,109,8.95890410958904
DG Nalkande,6,89,150,10.112359550561797
FH Edwards,6,150,160,6.4
Fazalhaq Farooqi,6,266,440,9.924812030075188
KMDN Kulasekara,6,107,122,6.841121495327102
S Kaushik,6,210,304,8.685714285714285
Jaskaran Singh,6,111,174,9.405405405405405
Ramandeep Singh,6,45,64,8.533333333333333
JE Taylor,6,122,167,8.213114754098362
SS Cottrell,6,131,177,8.106870229007633
M de Lange,6,116,171,8.844827586206897
MG Bracewell,6,66,95,8.636363636363637
Shivang Kumar,6,91,133,8.769230769230768
XC Bartlett,6,146,232,9.534246575342465
S Tyagi,6,220,304,8.290909090909091
S Narwal,6,113,203,10.778761061946902
SB Bangar,6,153,221,8.666666666666666
JA Duffy,6,80,139,10.425
PD Collingwood,5,90,101,6.733333333333333
L Ablish,5,45,76,10.133333333333333
TM Dilshan,5,275,368,8.02909090909091
J Overton,5,111,192,10.378378378378379
Shoaib Ahmed,5,103,154,8.970873786407767
A Choudhary,5,108,144,8.0
V Kohli,5,264,371,8.431818181818182
B Muzarabani,5,44,79,10.772727272727273
MJ Henry,5,166,314,11.349397590361445
SB Wagh,5,108,147,8.166666666666668
HR Shokeen,5,213,320,9.014084507042252
Gurkeerat Singh,5,82,97,7.097560975609756
O Thomas,5,63,85,8.095238095238095
RJW Topley,5,125,222,10.656
AP Dole,5,73,114,9.36986301369863
KL Nagarkoti,5,185,287,9.308108108108108
Shoaib Akhtar,5,46,54,7.043478260869566
M Siddharth,5,151,203,8.066225165562914
S Ladda,5,141,225,9.574468085106382
SH Johnson,5,172,289,10.08139534883721
Parvez Rasool,4,200,273,8.19
PP Hinge,4,26,34,7.846153846153847
Y Nagar,4,72,125,10.416666666666668
LE Plunkett,4,154,228,8.883116883116884
DJ Muthuswami,4,84,108,7.714285714285715
D du Preez,4,43,56,7.813953488372094
A Badoni,4,35,50,8.571428571428571
Shivam Sharma,4,114,165,8.68421052631579
T Stubbs,4,37,69,11.18918918918919
Sakib Hussain,4,27,24,5.333333333333333
Ashok Sharma,4,91,149,9.824175824175825
Ankit Soni,4,112,145,7.767857142857143
WA Mota,4,75,98,7.84
DP Vijaykumar,4,159,205,7.735849056603773
S Dhawan,4,49,72,8.816326530612246
Arjun Tendulkar,4,83,117,8.457831325301205
DJ Thornely,3,44,40,5.454545454545454
SM Boland,3,43,56,7.813953488372094
Sikandar Raza,3,88,146,9.954545454545455
T Shamsi,3,120,185,9.25
Sachin Baby,3,10,8,4.800000000000001
Shashank Singh,3,50,72,8.64
MJ Clarke,3,66,72,6.545454545454545
SM Harwood,3,67,74,6.6268656716417915
DAJ Bracewell,3,25,32,7.68
JW Hastings,3,61,66,6.491803278688526
Abhinandan Singh,3,60,122,12.2
RJ Peterson,3,48,70,8.75
RN ten Doeschate,3,83,94,6.795180722891567
JA Richardson,3,94,162,10.340425531914892
GHS Garton,3,97,136,8.412371134020617
Gagandeep Singh,3,84,142,10.142857142857142
RS Hangargekar,3,43,60,8.372093023255815
JM Kemp,3,47,58,7.404255319148936
JJ van der Wath,3,76,134,10.578947368421051
K Santokie,3,51,91,10.705882352941178
AL Menaria,3,113,144,7.646017699115044
R Ninan,3,36,65,10.833333333333334
P Sahu,3,107,152,8.523364485981308
TM Head,3,58,113,11.689655172413794
Brijesh Sharma,3,44,55,7.5
VR Iyer,3,84,145,10.357142857142858
A Uniyal,3,38,67,10.578947368421051
PHKD Mendis,2,42,60,8.571428571428571
P Dubey,2,79,112,8.50632911392405
C Bosch,2,65,95,8.769230769230768
C Nanda,2,50,58,6.959999999999999
P Suyal,2,107,154,8.635514018691588
PH Solanki,2,36,39,6.5
PVSN Raju,2,29,54,11.172413793103448
AU Rashid,2,60,91,9.1
DNT Zoysa,2,69,100,8.695652173913043
SC Kuggeleijn,2,50,71,8.52
DA Payne,2,31,70,13.548387096774196
SD Chitnis,2,38,62,9.789473684210526
D Kalyankrishna,2,50,88,10.56
A Flintoff,2,66,106,9.636363636363637
V Kaverappa,2,24,36,9.0
KT Maphaka,2,71,148,12.507042253521126
MK Lomror,2,94,127,8.106382978723403
Shoaib Malik,2,58,87,9.0
MA Khote,2,30,52,10.4
LJ Wright,2,75,125,10.0
JPR Scantlebury-Searles,2,45,89,11.866666666666667
AJ Hosein,2,62,87,8.419354838709678
AM Ghazanfar,2,38,73,11.526315789473685
ND Doshi,2,57,79,8.31578947368421
K Yadav,2,54,85,9.444444444444445
FA Allen,2,91,136,8.967032967032967
Mohammad Hafeez,2,63,71,6.761904761904762
KJ Abbott,2,102,182,10.705882352941178
B Geeves,2,49,91,11.142857142857142
Mayank Dagar,2,138,205,8.91304347826087
Abdul Samad,2,58,125,12.931034482758623
GD Phillips,2,31,40,7.741935483870968
RJ Gleeson,2,73,111,9.123287671232877
KA Maharaj,2,36,39,6.5
IC Porel,1,26,42,9.692307692307693
V Viyaskanth,1,60,90,9.0
AC Gilchrist,1,1,0,0.0
DJ Mitchell,1,51,97,11.411764705882351
SS Sarkar,1,25,34,8.16
MK Tiwary,1,45,83,11.066666666666666
Mashrafe Mortaza,1,28,59,12.642857142857142
LMP Simmons,1,18,34,11.333333333333332
CJ McKay,1,42,60,8.571428571428571
T Henderson,1,36,41,6.833333333333333
D Brevis,1,3,8,16.0
D Jansen,1,28,53,11.357142857142858
D Salunkhe,1,51,80,9.411764705882353
AA Jhunjhunwala,1,88,130,8.863636363636363
CL White,1,46,86,11.217391304347826
M Shahrukh Khan,1,18,29,9.666666666666668
LI Meriwala,1,19,32,10.105263157894736
A Nel,1,18,31,10.333333333333334
SE Rutherford,1,46,60,7.826086956521739
DB Ravi Teja,1,18,28,9.333333333333334
LB Williams,1,42,74,10.571428571428571
TP Sudhindra,1,74,137,11.108108108108109
LA Carseldine,1,7,6,5.142857142857142
PM Sarvesh Kumar,1,31,42,8.129032258064516
BMAJ Mendis,1,30,36,7.199999999999999
AJ Finch,1,44,67,9.136363636363637
Y Prithvi Raj,1,33,57,10.363636363636363
L Wood,1,38,94,14.842105263157896
R Powell,1,21,35,10.0
AM Rahane,1,6,5,5.0
Musheer Khan,1,12,27,13.5
DJM Short,1,18,23,7.666666666666666
SA Abbott,1,59,104,10.576271186440678
FY Fazal,1,12,20,10.0
AC Voges,1,56,76,8.142857142857142
NB Singh,1,25,18,4.32
SS Mundhe,1,7,6,5.142857142857142
SSB Magala,1,37,52,8.432432432432433
SS Agarwal,1,24,42,10.5
S Vidyut,1,13,22,10.153846153846153
RG More,1,37,63,10.216216216216216
GR Napier,1,24,28,7.0
Naman Dhir,1,53,76,8.60377358490566
SB Joshi,1,55,82,8.945454545454545
GS Sandhu,1,48,86,10.75
GH Vihari,1,43,48,6.697674418604651
Gurjapneet Singh,1,33,62,11.272727272727273
AA Noffke,1,25,41,9.84
AA Kazi,1,13,21,9.692307692307693
