batter,death_runs,death_balls,death_sr
ER Dwivedi,19,9,211.11111111111111
F Behardien,14,12,116.66666666666667
F du Plessis,568,333,170.57057057057057
FA Allen,11,13,84.61538461538461
FH Edwards,4,5,80.0
FY Fazal,38,33,115.15151515151516
Fazalhaq Farooqi,5,15,33.33333333333333
G Coetzee,23,24,95.83333333333334
G Gambhir,270,193,139.89637305699483
GB Hogg,22,22,100.0
GC Smith,66,41,160.97560975609758
GC Viljoen,3,7,42.857142857142854
GD McGrath,4,5,80.0
GD Phillips,59,33,178.78787878787878
GF Linde,16,10,160.0
GH Vihari,80,70,114.28571428571428
GHS Garton,2,4,50.0
GJ Bailey,327,190,172.10526315789474
GJ Maxwell,607,352,172.4431818181818
GR Napier,5,4,125.0
Gulbadin Naib,15,10,150.0
Gurkeerat Singh,251,168,149.4047619047619
H Das,2,5,40.0
H Klaasen,613,336,182.44047619047618
HC Brook,36,27,133.33333333333331
HE van der Dussen,12,10,120.0
HF Gurney,1,5,20.0
HH Gibbs,72,46,156.52173913043478
HH Pandya,1448,896,161.60714285714286
HM Amla,122,54,225.9259259259259
HR Shokeen,23,19,121.05263157894737
HV Patel,207,166,124.69879518072288
Harbhajan Singh,624,434,143.77880184331798
Harmeet Singh,18,12,150.0
Harpreet Brar,204,160,127.49999999999999
Harpreet Singh,50,38,131.57894736842107
Harsh Dubey,13,11,118.18181818181819
Harshit Rana,30,35,85.71428571428571
I Malhotra,7,4,175.0
I Sharma,45,57,78.94736842105263
I Udana,15,11,136.36363636363635
IC Pandey,0,2,0.0
IK Pathan,663,465,142.5806451612903
IR Jaggi,13,15,86.66666666666667
IS Sodhi,5,11,45.45454545454545
Imran Tahir,29,31,93.54838709677419
Iqbal Abdulla,70,61,114.75409836065573
Ishan Kishan,360,198,181.8181818181818
J Botha,159,123,129.26829268292684
J Overton,55,35,157.14285714285714
J Suchith,56,32,175.0
J Syed Mohammad,20,16,125.0
J Theron,10,13,76.92307692307693
J Yadav,31,29,106.89655172413792
JA Morkel,637,425,149.88235294117646
JA Richardson,2,4,50.0
JC Archer,220,149,147.6510067114094
JC Buttler,733,396,185.1010101010101
JD Ryder,45,28,160.71428571428572
JD Unadkat,178,145,122.75862068965517
JDP Oram,62,51,121.56862745098039
JDS Neesham,42,47,89.36170212765957
JE Taylor,3,4,75.0
JEC Franklin,97,70,138.57142857142856
JH Kallis,394,231,170.56277056277057
JJ Bumrah,63,76,82.89473684210526
JJ Roy,41,23,178.26086956521738
