batter,total_runs,balls_played,innings,strike_rate
RJ Harris,117,112,21,104.46428571428572
Misbah-ul-Haq,117,82,8,142.6829268292683
Z Khan,117,141,27,82.97872340425532
KK Cooper,116,70,12,165.71428571428572
DJM Short,115,102,7,112.74509803921569
Aman Hakim Khan,115,109,10,105.50458715596329
M Kartik,113,109,14,103.6697247706422
Mohammed Siraj,112,127,21,88.18897637795276
MA Starc,111,120,21,92.5
DJ Harris,111,103,4,107.76699029126213
GD Phillips,107,86,11,124.4186046511628
LJ Wright,106,63,5,168.25396825396825
JDP Oram,106,110,11,96.36363636363636
DS Kulkarni,104,113,20,92.03539823008849
RJ Quiney,103,105,7,98.09523809523809
J Overton,102,66,5,154.54545454545453
SD Chitnis,99,92,8,107.6086956521739
MS Gony,99,76,15,130.26315789473685
Azmatullah Omarzai,99,77,9,128.57142857142858
CJ Ferguson,98,119,8,82.35294117647058
MJ Clarke,98,96,6,102.08333333333333
Mohammed Shami,98,103,30,95.14563106796116
PN Mankad,97,75,5,129.33333333333331
PHKD Mendis,92,72,5,127.77777777777777
PR Shah,92,97,9,94.84536082474226
JDS Neesham,92,93,10,98.9247311827957
DJ Jacobs,92,101,7,91.0891089108911
S Rana,91,82,8,110.97560975609757
RT Ponting,91,129,9,70.54263565891473
AJ Tye,91,79,13,115.18987341772151
AD Nath,90,99,10,90.9090909090909
Iqbal Abdulla,88,86,13,102.32558139534885
MD Choudhary,88,57,4,154.38596491228068
SL Malinga,88,103,20,85.43689320388349
AP Majumdar,87,77,4,112.98701298701299
Ankit Sharma,87,69,10,126.08695652173914
TA Boult,86,88,25,97.72727272727273
MJ McClenaghan,85,73,20,116.43835616438356
RE Levi,83,74,6,112.16216216216218
NM Coulter-Nile,82,75,16,109.33333333333333
PWH de Silva,81,95,19,85.26315789473684
WPUJC Vaas,81,73,11,110.95890410958904
CJ Jordan,81,81,12,100.0
FH Allen,81,44,5,184.0909090909091
Shahid Afridi,81,46,9,176.08695652173913
